Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
2	Spectrogram 1	3	159.408	160.070	4000.0	18000.0	8789.1	Phee	15.833505	25.733454	NaN	NaN	113.646973	0.000000
3	Spectrogram 1	3	160.210	160.650	4000.0	18000.0	8398.4	Phee	15.358995	25.514633	NaN	NaN	118.579338	0.000000
20	Spectrogram 1	3	3021.062	3021.411	4000.0	18000.0	7421.9	Trill	12.646504	19.753191	NaN	NaN	82.231973	0.000000
21	Spectrogram 1	3	3021.427	3021.672	2812.5	14062.5	7617.2	Trill						
1	Spectrogram 1	3	158.716	159.295	4687.5	13437.5	8398.4	Trillphee						
4	Spectrogram 1	3	2760.886	2760.902	5000.0	16250.0	10546.9	Twitter						
5	Spectrogram 1	3	2761.010	2761.026	4000.0	18000.0	11132.8	Twitter	9.491704	16.755956	NaN	NaN	45.535918	0.000000
6	Spectrogram 1	3	2761.137	2761.154	4062.5	14062.5	8007.8	Twitter						
7	Spectrogram 1	3	2761.258	2761.278	4687.5	14062.5	7617.2	Twitter						
8	Spectrogram 1	3	2761.373	2761.400	5625.0	13750.0	7617.2	Twitter						
9	Spectrogram 1	3	2761.495	2761.516	5000.0	13750.0	7617.2	Twitter						
10	Spectrogram 1	3	2761.609	2761.638	4375.0	13437.5	7519.5	Twitter						
11	Spectrogram 1	3	2761.726	2761.759	2812.5	14375.0	8398.4	Twitter						
12	Spectrogram 1	3	2761.828	2761.874	6007.8	11627.9	8105.5	Twitter						
13	Spectrogram 1	4	2771.526	2771.556	1875.0	15000.0	10644.5	Twitter						
14	Spectrogram 1	4	2771.677	2771.720	4000.0	18000.0	6543.0	Twitter	9.929761	21.178269	NaN	NaN	66.140876	0.000000
15	Spectrogram 1	4	2771.836	2771.889	2812.5	13437.5	6152.3	Twitter						
16	Spectrogram 1	4	2771.977	2772.039	2500.0	12187.5	6152.3	Twitter						
17	Spectrogram 1	4	2772.115	2772.180	2500.0	13125.0	6152.3	Twitter						
18	Spectrogram 1	4	2772.245	2772.337	1875.0	13125.0	5859.4	Twitter						
19	Spectrogram 1	4	2772.388	2772.471	2812.5	11875.0	5371.1	Twitter						
22	Spectrogram 1	4	3446.513	3446.537	4000.0	18000.0	8105.5	Twitter	7.066772	20.093111	NaN	NaN	48.558513	0.000000
23	Spectrogram 1	4	3446.666	3446.710	2298.9	13505.7	6347.7	Twitter						
24	Spectrogram 1	4	3446.827	3446.885	1149.4	12356.3	6250.0	Twitter						
25	Spectrogram 1	4	3446.982	3447.045	1436.8	12931.0	6250.0	Twitter						
26	Spectrogram 1	4	3447.123	3447.192	2586.2	12643.7	6250.0	Twitter						
27	Spectrogram 1	4	3447.271	3447.340	287.4	13218.4	6054.7	Twitter						
28	Spectrogram 1	4	3447.419	3447.497	2873.6	11494.3	5761.7	Twitter						
29	Spectrogram 1	4	3447.562	3447.643	2298.9	11206.9	5664.1	Twitter						
30	Spectrogram 1	4	3447.707	3447.770	1436.8	10632.2	4980.5	Twitter						
