Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	1	22.660000	22.750000	4000.000000	18000.000000	8000.000000	Trill	7.532962	11.413082	NaN	NaN	53.549762	0.000000
2	Spectrogram 1	1	22.820000	22.880000	4000.000000	18000.000000	8000.000000	Trill	5.297885	8.468762	NaN	NaN	40.105939	0.000000
3	Spectrogram 1	1	33.700000	34.070000	4000.000000	18000.000000	8000.000000	Trill	10.556158	14.981133	NaN	NaN	66.599195	0.000000
4	Spectrogram 1	1	37.010000	37.230000	4000.000000	18000.000000	8000.000000	Trill	5.819535	9.712002	NaN	NaN	42.647141	0.000000
5	Spectrogram 1	1	37.360000	37.390000	4000.000000	18000.000000	8000.000000	Trill	8.278919	10.709091	NaN	NaN	43.935887	0.000000
6	Spectrogram 1	1	58.720000	59.070000	4000.000000	18000.000000	8000.000000	Trillphee	11.692799	22.118850	NaN	NaN	121.069938	0.000000
7	Spectrogram 1	1	59.170000	59.980000	4000.000000	18000.000000	8000.000000	Phee	7.130970	17.162879	NaN	NaN	73.627316	0.000000
8	Spectrogram 1	1	60.010000	60.280000	4000.000000	18000.000000	8000.000000	Phee	10.202520	19.272416	NaN	NaN	98.858288	0.000000
9	Spectrogram 1	1	62.940000	63.300000	4000.000000	18000.000000	8000.000000	Trill	8.902114	11.643410	NaN	NaN	58.187462	0.000000
10	Spectrogram 1	1	67.390000	67.470000	4000.000000	18000.000000	8000.000000	Trill	6.931601	11.359080	NaN	NaN	47.588570	0.000000
11	Spectrogram 1	1	67.520000	67.570000	4000.000000	18000.000000	8000.000000	Sd-peep	5.241288	7.557093	NaN	NaN	35.698895	0.000000
12	Spectrogram 1	1	68.390000	68.490000	4000.000000	18000.000000	8000.000000	Trill	5.830989	9.458627	NaN	NaN	47.528102	0.000000
