Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	1	69.460000	69.500000	4000.000000	18000.000000	8000.000000	Trill	7.343421	12.782060	NaN	NaN	53.328623	0.000000
2	Spectrogram 1	1	76.450000	76.900000	4000.000000	18000.000000	8000.000000	Trill	9.962152	15.468038	NaN	NaN	68.847117	0.000000
3	Spectrogram 1	1	200.960000	201.340000	4000.000000	18000.000000	8000.000000	Trill	12.784642	18.202986	NaN	NaN	99.418400	0.000000
4	Spectrogram 1	1	231.620000	231.840000	4000.000000	18000.000000	8000.000000	Trill	10.780403	18.108084	NaN	NaN	84.232885	0.000000
5	Spectrogram 1	1	290.340000	290.900000	4000.000000	18000.000000	8000.000000	Trill	10.237655	14.353230	NaN	NaN	84.435460	0.000000
6	Spectrogram 1	1	291.000000	291.060000	4000.000000	18000.000000	8000.000000	Trill	7.759787	10.431550	NaN	NaN	67.717867	0.000000
7	Spectrogram 1	1	309.720000	309.760000	4000.000000	18000.000000	8000.000000	Trill	10.386610	12.264137	NaN	NaN	58.724710	0.000000
8	Spectrogram 1	1	310.420000	310.460000	4000.000000	18000.000000	8000.000000	Twitter	10.031985	17.288257	NaN	NaN	41.391420	0.000000
9	Spectrogram 1	1	310.670000	310.710000	4000.000000	18000.000000	8000.000000	Twitter	11.684851	17.891780	NaN	NaN	58.429604	0.000000
10	Spectrogram 1	1	310.790000	310.840000	4000.000000	18000.000000	8000.000000	Trill	7.797324	13.449349	NaN	NaN	61.769451	0.000000
11	Spectrogram 1	1	323.300000	323.450000	4000.000000	18000.000000	8000.000000	Trill	8.541057	12.246142	NaN	NaN	43.502117	0.000000
12	Spectrogram 1	1	395.640000	395.810000	4000.000000	18000.000000	8000.000000	Trill	9.788843	16.042784	NaN	NaN	89.668878	0.000000
13	Spectrogram 1	1	395.890000	395.920000	4000.000000	18000.000000	8000.000000	Twitter	7.981299	10.250539	NaN	NaN	47.628078	0.000000
14	Spectrogram 1	1	434.950000	435.180000	4000.000000	18000.000000	8000.000000	Trill	11.904625	20.797754	NaN	NaN	105.036546	0.000000
15	Spectrogram 1	1	435.230000	435.290000	4000.000000	18000.000000	8000.000000	Trill	9.557922	15.613688	NaN	NaN	81.328636	0.000000
16	Spectrogram 1	1	451.930000	452.140000	4000.000000	18000.000000	8000.000000	Trill	7.049198	13.064171	NaN	NaN	69.199603	0.000000
17	Spectrogram 1	1	467.120000	467.180000	4000.000000	18000.000000	8000.000000	Trill	7.833855	12.921794	NaN	NaN	69.012884	0.000000
18	Spectrogram 1	1	484.880000	484.970000	4000.000000	18000.000000	8000.000000	Trill	11.199953	14.999067	NaN	NaN	78.684321	0.000000
19	Spectrogram 1	1	636.620000	636.650000	4000.000000	18000.000000	8000.000000	Trill	9.223896	10.569936	NaN	NaN	42.495413	0.000000
20	Spectrogram 1	1	725.060000	725.750000	4000.000000	18000.000000	8000.000000	Trillphee	7.741132	19.145260	NaN	NaN	94.315021	0.000000
21	Spectrogram 1	1	788.170000	788.530000	4000.000000	18000.000000	8000.000000	Trill	11.380128	18.756806	NaN	NaN	107.057331	0.000000
22	Spectrogram 1	1	790.310000	790.350000	4000.000000	18000.000000	8000.000000	Trillphee	10.083262	19.504100	NaN	NaN	112.920873	0.000000
23	Spectrogram 1	1	992.710000	993.160000	4000.000000	18000.000000	8000.000000	Trill	10.409112	17.693640	NaN	NaN	68.156564	0.000000
24	Spectrogram 1	1	993.520000	993.580000	4000.000000	18000.000000	8000.000000	Phee	11.443983	10.758989	NaN	NaN	40.022092	0.000000
25	Spectrogram 1	1	997.490000	997.540000	4000.000000	18000.000000	8000.000000	Trillphee	12.444241	11.974964	NaN	NaN	34.737743	0.000000
26	Spectrogram 1	1	1105.050000	1105.120000	4000.000000	18000.000000	8000.000000	Trill	12.807876	17.712534	NaN	NaN	85.546050	0.000000
27	Spectrogram 1	1	1105.230000	1105.290000	4000.000000	18000.000000	8000.000000	Phee	12.930544	14.722728	NaN	NaN	86.245802	0.000000
28	Spectrogram 1	1	1554.030000	1554.440000	4000.000000	18000.000000	8000.000000	Trill	7.078509	14.423668	NaN	NaN	64.028044	0.000000
29	Spectrogram 1	1	1674.900000	1675.170000	4000.000000	18000.000000	8000.000000	Trill	8.948169	16.050474	NaN	NaN	75.286985	0.000000
30	Spectrogram 1	1	1935.100000	1935.130000	4000.000000	18000.000000	8000.000000	Twitter	10.452822	18.285953	NaN	NaN	71.272165	0.000000
31	Spectrogram 1	1	2245.210000	2245.460000	4000.000000	18000.000000	8000.000000	Trill	8.543633	13.201326	NaN	NaN	77.062824	0.000000
32	Spectrogram 1	1	2308.090000	2308.390000	4000.000000	18000.000000	8000.000000	Trill	9.259047	18.358442	NaN	NaN	94.043913	0.000000
33	Spectrogram 1	1	2318.840000	2318.900000	4000.000000	18000.000000	8000.000000	Twitter	9.199502	17.882478	NaN	NaN	83.470836	0.000000
34	Spectrogram 1	1	2325.600000	2325.770000	4000.000000	18000.000000	8000.000000	Trill	10.350430	19.464208	NaN	NaN	104.894562	0.000000
35	Spectrogram 1	1	2325.860000	2325.910000	4000.000000	18000.000000	8000.000000	Trill	8.384457	17.002958	NaN	NaN	98.612932	0.000000
36	Spectrogram 1	1	2373.550000	2373.800000	4000.000000	18000.000000	8000.000000	Trill	8.079150	13.219048	NaN	NaN	62.248915	0.000000
37	Spectrogram 1	1	2407.510000	2407.740000	4000.000000	18000.000000	8000.000000	Trill	10.914555	17.617771	NaN	NaN	101.245692	0.000000
38	Spectrogram 1	1	2423.490000	2424.140000	4000.000000	18000.000000	8000.000000	Trillphee	7.069189	16.854381	NaN	NaN	98.570987	0.000000
39	Spectrogram 1	1	2510.890000	2510.950000	4000.000000	18000.000000	8000.000000	Trill	7.311261	10.043152	NaN	NaN	58.853829	0.000000
40	Spectrogram 1	1	2577.020000	2577.070000	4000.000000	18000.000000	8000.000000	Trillphee	7.047963	10.937534	NaN	NaN	76.417199	0.000000
41	Spectrogram 1	1	2586.300000	2586.430000	4000.000000	18000.000000	8000.000000	Trill	7.787457	15.049119	NaN	NaN	95.977281	0.000000
42	Spectrogram 1	1	2662.870000	2663.310000	4000.000000	18000.000000	8000.000000	Trill	8.473808	14.085106	NaN	NaN	80.077993	0.000000
43	Spectrogram 1	1	2665.270000	2665.330000	4000.000000	18000.000000	8000.000000	Trill	9.180512	13.129887	NaN	NaN	91.693293	0.000000
44	Spectrogram 1	1	2682.200000	2682.380000	4000.000000	18000.000000	8000.000000	Trill	7.974825	10.441739	NaN	NaN	59.825535	0.000000
45	Spectrogram 1	1	2684.390000	2684.430000	4000.000000	18000.000000	8000.000000	Trill	7.467565	9.481313	NaN	NaN	64.503416	0.000000
46	Spectrogram 1	1	2685.110000	2685.170000	4000.000000	18000.000000	8000.000000	Trill	7.506574	10.383535	NaN	NaN	77.474212	0.000000
47	Spectrogram 1	1	2686.450000	2686.500000	4000.000000	18000.000000	8000.000000	Trill	9.725850	12.946982	NaN	NaN	88.433974	0.000000
48	Spectrogram 1	1	2689.180000	2689.240000	4000.000000	18000.000000	8000.000000	Trill	7.687052	12.714835	NaN	NaN	88.326588	0.000000
49	Spectrogram 1	1	2755.130000	2755.240000	4000.000000	18000.000000	8000.000000	Twitter	10.899354	15.120656	NaN	NaN	81.055256	0.000000
50	Spectrogram 1	1	2755.290000	2755.410000	4000.000000	18000.000000	8000.000000	Trill	7.469936	11.916263	NaN	NaN	72.759126	0.000000
51	Spectrogram 1	1	2874.160000	2874.600000	4000.000000	18000.000000	8000.000000	Trill	9.363597	16.999469	NaN	NaN	101.567162	0.000000
52	Spectrogram 1	1	2908.510000	2908.560000	4000.000000	18000.000000	8000.000000	Twitter	7.542803	16.612328	NaN	NaN	59.614951	0.000000
53	Spectrogram 1	1	2909.230000	2909.280000	4000.000000	18000.000000	8000.000000	Twitter	9.477066	17.112451	NaN	NaN	94.334231	0.000000
54	Spectrogram 1	1	2924.140000	2924.400000	4000.000000	18000.000000	8000.000000	Trill	13.649378	18.575158	NaN	NaN	120.647485	0.000000
55	Spectrogram 1	1	2969.500000	2969.720000	4000.000000	18000.000000	8000.000000	Trill	11.039490	19.515546	NaN	NaN	108.085140	0.000000
56	Spectrogram 1	1	3127.160000	3127.550000	4000.000000	18000.000000	8000.000000	Trill	9.276515	16.549353	NaN	NaN	91.948127	0.000000
57	Spectrogram 1	1	3154.030000	3154.110000	4000.000000	18000.000000	8000.000000	Trill	7.605705	11.930443	NaN	NaN	54.930702	0.000000
58	Spectrogram 1	1	3193.720000	3193.990000	4000.000000	18000.000000	8000.000000	Trill	9.425910	18.112443	NaN	NaN	100.094386	0.000000
59	Spectrogram 1	1	3431.770000	3431.820000	4000.000000	18000.000000	8000.000000	Trill	8.556489	11.971052	NaN	NaN	63.524821	0.000000
60	Spectrogram 1	1	3437.840000	3437.900000	4000.000000	18000.000000	8000.000000	Trill	8.225111	11.726957	NaN	NaN	59.454014	0.000000
61	Spectrogram 1	1	3633.860000	3633.920000	4000.000000	18000.000000	8000.000000	Trill	7.569809	13.187205	NaN	NaN	62.325371	0.000000
62	Spectrogram 1	1	3638.630000	3638.930000	4000.000000	18000.000000	8000.000000	Trill	10.546378	14.028278	NaN	NaN	76.799692	0.000000
63	Spectrogram 1	1	3641.790000	3642.170000	4000.000000	18000.000000	8000.000000	Trill	9.751947	15.694758	NaN	NaN	95.636886	0.000000
64	Spectrogram 1	1	3643.990000	3644.040000	4000.000000	18000.000000	8000.000000	Phee	9.571320	19.863293	NaN	NaN	108.945760	0.000000
65	Spectrogram 1	1	3723.110000	3723.160000	4000.000000	18000.000000	8000.000000	Twitter	7.635749	18.648158	NaN	NaN	56.721889	0.000000
66	Spectrogram 1	1	3723.240000	3723.290000	4000.000000	18000.000000	8000.000000	Twitter	7.094981	14.949404	NaN	NaN	55.773827	0.000000
67	Spectrogram 1	1	3750.880000	3751.410000	4000.000000	18000.000000	8000.000000	Trill	11.983714	19.505804	NaN	NaN	107.983148	0.000000
