Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	6	6.990	7.100	4000.0	18000.0	17968.7	P-peep	1.755852	3.489264	-0.162929	0.232321	31.999631	0.000000
2	Spectrogram 1	6	10.930	11.090	4000.0	18000.0	7031.2	Trill	-0.526782	6.479082	-1.524104	1.420212	34.240074	0.000000
3	Spectrogram 1	6	27.180	28.670	4000.0	18000.0	6835.9	Trill	0.846734	5.637602	-0.206797	0.668291	31.288513	0.000000
4	Spectrogram 1	6	34.870	35.890	4000.0	18000.0	7421.9	Trill	-0.185302	7.863542	-0.213594	-1.734353	29.359696	0.000000
5	Spectrogram 1	5	37.140	37.200	4000.0	18000.0	7031.2	Twitter	0.095372	8.169061	0.172509	0.925076	27.719191	0.000000
6	Spectrogram 1	5	37.550	37.620	4000.0	18000.0	7031.2	Twitter	-0.135582	7.215412	1.355982	-0.918522	21.671338	0.000000
7	Spectrogram 1	5	37.680	37.750	4000.0	18000.0	17382.8	Twitter	0.620397	7.656306	0.153553	-0.967238	28.414482	0.000000
8	Spectrogram 1	5	37.810	37.890	4000.0	18000.0	16796.9	Trill	1.529071	8.006227	0.319618	-1.088012	28.801681	0.000000
9	Spectrogram 1	5	37.920	38.110	4000.0	18000.0	10156.2	Trill	0.754516	6.173226	0.208066	0.430768	29.109477	0.000000
10	Spectrogram 1	5	39.200	39.460	4000.0	18000.0	16992.2	Trill	3.753881	6.434505	0.554466	0.195625	40.749387	0.000000
11	Spectrogram 1	6	44.040	44.230	4000.0	18000.0	8007.8	Trill	-1.170589	7.903957	-0.448792	0.627554	35.440484	0.000000
12	Spectrogram 1	6	44.280	44.370	4000.0	18000.0	4101.6	Trill	-0.794881	7.154261	-0.789592	0.608519	28.074690	0.000000
13	Spectrogram 1	6	45.430	45.480	4000.0	18000.0	15429.7	Trill	0.465104	5.439574	-0.640893	0.864161	28.985252	0.000000
14	Spectrogram 1	6	46.800	47.780	4000.0	18000.0	6445.3	Trill	0.343186	8.203471	-0.363371	0.985233	38.001314	0.000000
15	Spectrogram 1	6	47.990	48.300	4000.0	18000.0	4101.6	Trill	-0.001250	7.421801	-1.302501	-0.183977	30.143944	0.000000
16	Spectrogram 1	6	52.310	53.210	4000.0	18000.0	6835.9	Trill	1.128731	7.244691	-1.947458	-0.296254	29.373829	0.000000
17	Spectrogram 1	6	72.790	72.900	4000.0	18000.0	5664.1	Sd-peep	2.940449	7.240019	-1.116628	1.697513	44.290009	0.000000
18	Spectrogram 1	6	73.310	73.890	4000.0	18000.0	7812.5	Trill	-0.108963	7.948114	-0.423344	1.173429	33.297510	0.000000
19	Spectrogram 1	5	79.730	79.940	4000.0	18000.0	4296.9	Trillphee	-2.516577	7.312696	0.099825	0.081983	34.083778	0.000000
20	Spectrogram 1	6	80.200	80.270	4000.0	18000.0	7421.9	Trill	-0.064934	7.597160	-0.058014	0.119239	34.573961	0.000000
21	Spectrogram 1	6	81.430	82.210	4000.0	18000.0	7421.9	Trill	0.635466	6.617434	-0.631576	3.429148	30.037001	0.000000
854	Spectrogram 1	2	82.520	82.580	4000.0	18000.0	5664.1	Trill	7.245001	9.954158	NaN	NaN	32.419430	0.000000
807	Spectrogram 1	1	86.160	86.530	4000.0	18000.0	7617.2	Trill	5.989089	13.760520	NaN	NaN	89.141315	0.000000
