Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
1	Spectrogram 1	5	6.800	7.150	4000.0	18000.0	7226.6	Trill	-1.685252	8.198090	0.385431	1.483731	34.046617	0.000000
2	Spectrogram 1	5	8.040	8.120	4000.0	18000.0	7226.6	Twitter	-3.331363	7.381066	1.089793	0.719592	19.941281	0.000000
3	Spectrogram 1	5	8.420	8.510	4000.0	18000.0	7226.6	Twitter	-3.155214	7.540007	1.321851	-1.276959	19.880952	0.000000
934	Spectrogram 1	1	19.050	19.550	4000.0	18000.0	7031.2	Trill	4.578143	8.457031	NaN	NaN	42.699984	0.000000
4	Spectrogram 1	6	26.830	27.850	4000.0	18000.0	4492.2	Trill	0.177391	9.325570	-0.014960	1.471656	44.547228	0.000000
5	Spectrogram 1	5	28.130	28.210	4000.0	18000.0	12695.3	P-peep	1.387449	2.815688	0.224043	0.033106	31.330061	0.000000
6	Spectrogram 1	6	38.060	38.130	4000.0	18000.0	14062.5	P-peep	2.573436	4.114616	-0.048155	-0.269155	32.818287	0.000000
7	Spectrogram 1	5	39.400	39.620	4000.0	18000.0	9375.0	Trill	0.237420	5.626862	0.014204	-0.053800	29.036260	0.000000
8	Spectrogram 1	5	39.660	39.750	4000.0	18000.0	8203.1	Trill	-0.800734	7.179502	1.059319	0.700124	31.310996	0.000000
970	Spectrogram 1	2	42.330	42.400	4000.0	18000.0	8398.4	Trill	5.117097	11.002615	NaN	NaN	61.201325	0.000000
9	Spectrogram 1	6	42.340	42.400	4000.0	18000.0	4101.6	Trill	-2.158974	6.601340	-0.981699	0.437035	38.699546	0.000000
10	Spectrogram 1	5	50.850	51.960	4000.0	18000.0	5273.4	Trill	0.312506	6.512091	0.161826	0.225088	28.140600	0.000000
11	Spectrogram 1	5	52.010	52.070	4000.0	18000.0	8789.1	P-peep	4.787709	4.729406	1.035245	0.207886	32.546540	0.000000
12	Spectrogram 1	5	57.410	58.070	4000.0	18000.0	7226.6	Trill	3.754859	8.245713	1.099219	3.270680	49.874237	0.000000
13	Spectrogram 1	6	58.260	58.580	4000.0	18000.0	5273.4	Trill	2.871528	6.578228	-0.455547	0.808762	42.514449	0.000000
14	Spectrogram 1	6	64.940	65.730	4000.0	18000.0	5468.7	P-peep	1.841731	7.407745	-1.519271	-0.071446	39.316345	0.000000
935	Spectrogram 1	1	69.450	69.590	4000.0	18000.0	6250.0	Trill	7.196195	7.315224	NaN	NaN	48.139473	0.000000
15	Spectrogram 1	6	70.690	70.770	4000.0	18000.0	4101.6	Trill	7.515851	7.323724	-0.007166	0.048110	44.975133	0.000000
971	Spectrogram 1	2	83.810	83.920	4000.0	18000.0	7812.5	Trill	7.401646	10.031059	NaN	NaN	56.129809	0.000000
936	Spectrogram 1	1	91.920	92.230	4000.0	18000.0	5664.1	Phee	3.393077	9.186159	NaN	NaN	28.653753	0.000000
16	Spectrogram 1	5	99.240	100.360	4000.0	18000.0	7617.2	Trill	0.803645	5.822163	0.190373	0.178759	31.722030	0.000000
17	Spectrogram 1	6	102.160	103.190	4000.0	18000.0	5664.1	Trill	3.722697	7.553020	-0.004137	0.093729	48.360367	0.000000
18	Spectrogram 1	6	105.560	106.130	4000.0	18000.0	7421.9	Trill	4.041111	6.690705	-2.625325	5.209390	39.439127	0.000000
19	Spectrogram 1	6	108.890	108.970	4000.0	18000.0	4296.9	Trill	5.995816	6.752382	-1.260504	-0.853328	38.419843	0.000000
20	Spectrogram 1	5	114.260	114.350	4000.0	18000.0	4687.5	Phee	7.542947	6.798148	1.063135	-0.923774	28.349134	0.000000
21	Spectrogram 1	5	114.420	115.050	4000.0	18000.0	8007.8	Trillphee	7.452559	8.594922	5.305436	2.052264	44.927719	0.000000
22	Spectrogram 1	5	117.420	117.490	4000.0	18000.0	14453.1	Trill	2.872582	4.373095	4.143916	-0.100421	28.270417	0.000000
23	Spectrogram 1	5	117.560	117.780	4000.0	18000.0	5664.1	Trill	3.434905	4.230340	6.007578	0.018184	33.860017	0.000000
24	Spectrogram 1	5	117.930	118.220	4000.0	18000.0	4101.6	P-peep	3.594409	3.892071	3.634499	-0.577659	37.821488	0.000000
937	Spectrogram 1	1	120.050	120.680	4000.0	18000.0	7617.2	Trill	5.119799	9.811692	NaN	NaN	63.228100	0.000000
25	Spectrogram 1	5	121.160	121.810	4000.0	18000.0	8789.1	P-peep	6.687004	12.342310	6.941795	3.232611	80.741813	0.000000
26	Spectrogram 1	5	121.950	122.370	4000.0	18000.0	4101.6	P-peep	5.870235	10.227666	7.450294	2.670948	60.181050	0.000000
972	Spectrogram 1	2	122.300	122.350	4000.0	18000.0	5664.1	Trillphee	7.987309	12.133215	NaN	NaN	42.752959	0.000000
27	Spectrogram 1	5	123.640	125.640	4000.0	18000.0	7812.5	Trill	2.456643	16.949302	2.456719	4.903516	52.383533	0.000000
28	Spectrogram 1	5	126.730	126.820	4000.0	18000.0	4101.6	Trillphee	7.728497	7.061967	1.572576	-7.012727	28.509439	0.000000
29	Spectrogram 1	5	128.680	128.740	4000.0	18000.0	5468.7	Phee	9.731114	7.400777	8.023118	-0.728591	31.168199	0.000000
30	Spectrogram 1	5	128.900	128.980	4000.0	18000.0	5664.1	Sd-peep	7.755909	9.461886	12.321304	-0.568853	49.147384	0.000000
31	Spectrogram 1	6	132.180	132.250	4000.0	18000.0	4101.6	P-peep	4.587517	4.969880	-0.665026	-0.170256	37.236884	0.000000
32	Spectrogram 1	5	132.520	132.550	4000.0	18000.0	4101.6	Trill	7.315180	5.420936	4.283745	0.081808	28.467257	0.000000
